episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
573,102270,7.8536,28,1,21.09
574,102346,120.2193,76,1,60.94
575,102560,362.2325,214,4,82.71
576,102684,291.1576,124,3,78.71
577,102751,109.1753,67,1,62.01
578,102938,269.1602,187,3,87.3
579,103040,179.311,102,2,70.31
580,103208,287.2591,168,3,82.32
581,103326,233.4795,118,2,74.02
582,103536,433.965,210,3,80.86
583,103618,142.3518,82,2,50.39
584,103707,157.2299,89,2,74.12
585,103972,305.4184,265,3,81.05
586,104225,401.3677,253,3,81.25
587,104335,138.8515,110,1,51.07
588,104404,21.1102,69,1,20.8
589,104756,230.174,352,3,77.64
590,105188,476.7943,432,5,84.67
591,105237,69.151,49,1,27.83
592,105497,534.6558,260,4,80.57
593,105676,322.7979,179,3,70.9
594,105832,247.0643,156,2,73.73
595,105985,316.4423,153,3,74.8
596,106094,233.822,109,2,56.45
597,106185,183.7789,91,2,67.58
598,106228,76.2766,43,1,49.12
599,106497,504.3981,269,4,78.22
600,106612,206.2906,115,2,66.41
601,106779,257.4578,167,3,74.71
602,106948,284.573,169,2,55.76
603,107094,282.562,146,2,56.93
604,107556,509.3454,462,4,76.27
605,107693,169.9757,137,2,67.58
606,107712,11.6609,19,1,45.02
607,107734,5.9032,22,1,19.92
608,107881,156.4812,147,2,71.68
609,107984,237.8023,103,2,71.68
610,108202,234.0709,218,3,71.68
611,108633,496.7308,431,3,80.27
612,108779,178.1688,146,2,66.89
613,109129,312.235,350,3,79.2
614,109158,19.4164,29,1,41.8
615,109287,287.5493,129,3,77.83
616,109603,172.1537,316,2,74.9
617,109664,100.8811,61,1,48.93
618,109766,193.7887,102,2,70.51
619,110162,480.2069,396,4,95.21
620,110274,251.9301,112,2,57.13
621,110292,-9.3893,18,1,41.31
622,110325,25.3492,33,1,48.54
623,110775,340.2989,450,4,82.91
624,110803,-4.4713,28,1,17.77
625,111022,192.0219,219,2,68.85
626,111070,72.059,48,1,44.53
627,111274,240.6881,204,2,75.39
628,111423,262.0618,149,2,54.69
629,111691,392.8001,268,4,93.16
630,111739,72.0124,48,1,55.18
631,111748,-14.3077,9,1,42.09
632,111774,13.7846,26,1,43.36
633,112048,258.4907,274,2,76.56
634,112564,222.9164,516,3,77.34
635,112859,201.4436,295,2,55.47
636,113087,313.5423,228,3,73.63
637,113352,276.064,265,2,75.78
638,113461,162.0606,109,2,66.8
639,113716,490.5781,255,3,78.32
640,114174,298.6832,458,3,80.27
641,114774,240.468,600,2,56.64
642,114880,26.1517,106,1,21.78
643,115076,349.6059,196,3,84.18
644,115098,8.4249,22,1,20.8
645,115212,192.0551,114,1,63.48
646,115574,586.7276,362,4,86.62
647,115598,-6.7894,24,1,20.21
648,116132,227.3631,534,2,75.1
649,116208,123.3426,76,1,63.96
650,116353,219.6892,145,2,70.21
651,116482,166.5281,129,1,64.45
652,116512,34.067,30,1,54.59
653,116684,337.6681,172,3,53.81
654,116707,23.4353,23,1,45.61
655,116736,13.4066,29,1,20.7
656,117336,424.0052,600,4,90.92
657,117357,-9.6404,21,1,42.68
658,117817,225.8789,460,2,76.56
659,118168,241.5978,351,3,78.52
660,118182,0.6263,14,1,41.41
661,118296,203.9657,114,2,73.93
662,118311,3.0765,15,1,44.34
663,118622,470.1802,311,4,98.73
664,118862,183.5255,240,2,40.62
665,119409,354.9839,547,2,74.71
666,119716,381.4273,307,4,86.23
667,119780,80.0069,64,1,36.43
668,119889,126.6118,109,1,58.79
669,120207,293.1992,318,3,81.45
670,120335,235.2748,128,2,53.32
671,120540,382.4088,205,4,84.96
672,120579,32.9461,39,1,23.14
673,120682,188.8534,103,2,47.17
674,120922,156.89,240,1,63.18
675,121522,377.2535,600,3,92.38
676,121795,303.7675,273,2,71.0
677,121917,246.9702,122,2,54.2
678,121999,147.8028,82,2,62.89
679,122054,65.667,55,1,50.68
680,122085,37.568,31,1,50.98
681,122097,-12.1544,12,1,40.23
682,122238,93.5062,141,1,25.39
